consumer	dependency	sourceSet	scope
krig-analytics	krig-runtime-stdlib	commonMain	api
krig-analytics	krig-storage	commonMain	api
krig-arrow	krig-state	main	api
krig-arrow	krig-storage	main	api
krig-assembly	krig-flow	commonMain	api
krig-assembly	krig-runtime	commonMain	api
krig-assembly	krig-runtime-stdlib	commonMain	api
krig-assembly	krig-storage	commonMain	api
krig-contracts	krig-identity	commonMain	api
krig-contracts	krig-messaging	commonMain	api
krig-contracts	krig-model	commonMain	api
krig-contracts	krig-operation	commonMain	api
krig-contracts	krig-state	commonMain	api
krig-flow	krig-contracts	commonMain	api
krig-identity	krig-state	commonMain	api
krig-jupyter	krig-assembly	main	api
krig-jupyter	krig-contracts	main	api
krig-jupyter	krig-magix	main	api
krig-jupyter	krig-runtime	main	api
krig-jupyter	krig-runtime-stdlib	main	api
krig-jupyter	krig-simulation	main	api
krig-messaging	krig-identity	commonMain	api
krig-messaging	krig-model	commonMain	api
krig-messaging	krig-operation	commonMain	api
krig-messaging	krig-state	commonMain	api
krig-model	krig-state	commonMain	api
krig-operation	krig-model	commonMain	api
krig-operation	krig-state	commonMain	api
krig-runtime	krig-contracts	commonMain	api
krig-runtime	krig-operation	commonMain	api
krig-runtime-stdlib	krig-contracts	commonMain	api
krig-runtime-stdlib	krig-runtime	commonMain	api
krig-runtime-stdlib	krig-storage	commonMain	api
krig-schema-json	krig-contracts	commonMain	api
krig-server	krig-contracts	main	api
krig-server	krig-messaging	main	implementation
krig-server	krig-ui-schema	main	api
krig-simulation	krig-contracts	commonMain	api
krig-simulation	krig-runtime-stdlib	commonMain	api
krig-storage	krig-messaging	commonMain	api
krig-storage	krig-state	commonMain	api
krig-ui-remote-compose	krig-ui-schema	main	api
krig-ui-schema	krig-contracts	commonMain	api
