consumer	dependency
krig-identity	krig-state
krig-model	krig-state
krig-operation	krig-state
krig-operation	krig-model
krig-messaging	krig-model
krig-messaging	krig-identity
krig-messaging	krig-operation
krig-messaging	krig-state
krig-storage	krig-state
krig-storage	krig-messaging
krig-contracts	krig-state
krig-contracts	krig-identity
krig-contracts	krig-model
krig-contracts	krig-operation
krig-contracts	krig-messaging
krig-runtime	krig-contracts
krig-runtime	krig-operation
krig-runtime-stdlib	krig-runtime
krig-runtime-stdlib	krig-contracts
krig-runtime-stdlib	krig-storage
krig-flow	krig-contracts
krig-assembly	krig-runtime
krig-assembly	krig-runtime-stdlib
krig-assembly	krig-storage
krig-assembly	krig-flow
krig-simulation	krig-contracts
krig-simulation	krig-runtime-stdlib
krig-arrow	krig-storage
krig-arrow	krig-state
krig-analytics	krig-storage
krig-analytics	krig-runtime-stdlib
krig-schema-json	krig-contracts
krig-ui-schema	krig-contracts
krig-ui-remote-compose	krig-ui-schema
krig-server	krig-contracts
krig-server	krig-ui-schema
krig-server	krig-messaging
krig-jupyter	krig-contracts
krig-jupyter	krig-runtime-stdlib
krig-jupyter	krig-runtime
krig-jupyter	krig-assembly
krig-jupyter	krig-simulation
krig-jupyter	krig-magix
