module	kind	layer
krig-state	library	L0
krig-identity	library	L1
krig-model	library	L1
krig-operation	library	L2
krig-messaging	library	L2
krig-contracts	library	L3
krig-storage	library	L3
krig-runtime	library	L4
krig-runtime-stdlib	library	L4
krig-flow	library	L4
krig-assembly	library	L5
krig-simulation	library	L5
krig-arrow	library	L6
krig-analytics	library	L6
krig-schema-json	library	L6
krig-ui-schema	library	L6
krig-ui-remote-compose	library	L6
krig-server	library	L6
krig-magix	library	L6
krig-jupyter	library	L6
krig-ksp-processor	build	-
krig-demo	example	-
krig-benchmarks	benchmark	-
krig-bom	platform	-
