package	owner	contributors
space.kscience.krig.analytics	krig-analytics	krig-analytics
space.kscience.krig.api.addressing	krig-identity	krig-identity
space.kscience.krig.api.annotations	krig-state	krig-contracts,krig-model,krig-state
space.kscience.krig.api.context	krig-identity	krig-identity
space.kscience.krig.api.data	krig-state	krig-operation,krig-state,krig-storage
space.kscience.krig.api.descriptors	krig-model	krig-model
space.kscience.krig.api.descriptors.attributes	krig-model	krig-model
space.kscience.krig.api.discovery	krig-contracts	krig-contracts
space.kscience.krig.api.expressions	krig-model	krig-model
space.kscience.krig.api.factory	krig-contracts	krig-contracts
space.kscience.krig.api.faults	krig-operation	krig-operation
space.kscience.krig.api.features	krig-model	krig-model
space.kscience.krig.api.hub	krig-contracts	krig-contracts,krig-messaging
space.kscience.krig.api.identifiers	krig-identity	krig-identity
space.kscience.krig.api.lifecycle	krig-state	krig-state
space.kscience.krig.api.messages	krig-messaging	krig-messaging
space.kscience.krig.api.meta	krig-model	krig-model
space.kscience.krig.api.result	krig-operation	krig-operation
space.kscience.krig.api.serialization	krig-messaging	krig-messaging
space.kscience.krig.api.services	krig-identity	krig-identity
space.kscience.krig.api.tasks	krig-model	krig-model
space.kscience.krig.api.utils	krig-contracts	krig-contracts
space.kscience.krig.arrow	krig-arrow	krig-arrow
space.kscience.krig.assembly	krig-assembly	krig-assembly
space.kscience.krig.concurrency	krig-simulation	krig-simulation
space.kscience.krig.core	krig-state	krig-state
space.kscience.krig.core.capabilities	krig-contracts	krig-contracts,krig-runtime-stdlib
space.kscience.krig.core.contracts	krig-contracts	krig-contracts
space.kscience.krig.core.contracts.sampling	krig-contracts	krig-contracts
space.kscience.krig.core.contracts.typed	krig-contracts	krig-contracts
space.kscience.krig.core.dataforge	krig-runtime-stdlib	krig-runtime-stdlib
space.kscience.krig.core.expressions	krig-runtime-stdlib	krig-runtime-stdlib
space.kscience.krig.core.features	krig-runtime	krig-runtime
space.kscience.krig.core.hook	krig-contracts	krig-contracts
space.kscience.krig.core.meta	krig-contracts	krig-contracts
space.kscience.krig.core.operations	krig-operation	krig-contracts,krig-operation,krig-runtime,krig-runtime-stdlib
space.kscience.krig.core.pipeline	krig-operation	krig-contracts,krig-operation,krig-runtime
space.kscience.krig.core.runtime	krig-runtime-stdlib	krig-runtime-stdlib
space.kscience.krig.core.state	krig-runtime-stdlib	krig-runtime-stdlib
space.kscience.krig.core.timetravel	krig-runtime-stdlib	krig-runtime-stdlib
space.kscience.krig.dsl	krig-runtime	krig-runtime,krig-runtime-stdlib
space.kscience.krig.flow	krig-flow	krig-flow
space.kscience.krig.generated.space.kscience.model	krig-model	krig-model
space.kscience.krig.jupyter	krig-jupyter	krig-jupyter
space.kscience.krig.schema.json	krig-schema-json	krig-schema-json
space.kscience.krig.server	krig-server	krig-server
space.kscience.krig.simulation	krig-simulation	krig-simulation
space.kscience.krig.storage.journal	krig-storage	krig-storage
space.kscience.krig.storage.profile	krig-storage	krig-storage
space.kscience.krig.storage.quality	krig-storage	krig-storage
space.kscience.krig.storage.timeseries	krig-storage	krig-storage
space.kscience.krig.ui.remote.compose	krig-ui-remote-compose	krig-ui-remote-compose
space.kscience.krig.ui.schema	krig-ui-schema	krig-ui-schema
space.kscience.magix.api	krig-magix	krig-magix
