project	kind	publication	group	artifact	jvmPublication	jvmArtifact
:krig-analytics	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-analytics	jvm	krig-analytics-jvm
:krig-arrow	JVM_DIRECT	maven	space.kscience	krig-arrow	maven	krig-arrow
:krig-assembly	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-assembly	jvm	krig-assembly-jvm
:krig-bom	PLATFORM_BOM	bom	space.kscience	krig-bom	-	-
:krig-contracts	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-contracts	jvm	krig-contracts-jvm
:krig-flow	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-flow	jvm	krig-flow-jvm
:krig-identity	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-identity	jvm	krig-identity-jvm
:krig-jupyter	JVM_DIRECT	maven	space.kscience	krig-jupyter	maven	krig-jupyter
:krig-magix	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-magix	jvm	krig-magix-jvm
:krig-messaging	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-messaging	jvm	krig-messaging-jvm
:krig-model	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-model	jvm	krig-model-jvm
:krig-operation	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-operation	jvm	krig-operation-jvm
:krig-runtime	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-runtime	jvm	krig-runtime-jvm
:krig-runtime-stdlib	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-runtime-stdlib	jvm	krig-runtime-stdlib-jvm
:krig-schema-json	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-schema-json	jvm	krig-schema-json-jvm
:krig-server	JVM_DIRECT	maven	space.kscience	krig-server	maven	krig-server
:krig-simulation	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-simulation	jvm	krig-simulation-jvm
:krig-state	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-state	jvm	krig-state-jvm
:krig-storage	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-storage	jvm	krig-storage-jvm
:krig-ui-remote-compose	JVM_DIRECT	maven	space.kscience	krig-ui-remote-compose	maven	krig-ui-remote-compose
:krig-ui-schema	KMP_ROOT	kotlinMultiplatform	space.kscience	krig-ui-schema	jvm	krig-ui-schema-jvm
